时间标识,2024/7/8 15:48:14,时间标识,2024/7/8 15:48:14
间隔,0.0002,间隔,0.0002
通道名称,"输入0",通道名称,"输入1"
单位,"V",单位,"V"
0,2.1020157411694527,0,2.1407370185479522
0.0002,2.1007250319235027,0.0002,2.1458998555317521
0.0004,2.1033064504154027,0.0004,2.1407370185479522
0.0006,2.0981436134316027,0.0006,2.1433184370398521
0.0008,2.0994343226775527,0.0008,2.1433184370398521
0.001,2.0968529041856527,0.001,2.1381556000560522
0.0012,2.0916900672018528,0.0012,2.1420277277939022
0.0014,2.0916900672018528,0.0014,2.1381556000560522
0.0016,2.0942714856937528,0.0016,2.1394463093020022
0.0018,2.0955621949397027,0.0018,2.1355741815641522
0.002,2.0942714856937528,0.002,2.1407370185479522
0.0022,2.0891086487099528,0.0022,2.1342834723182023
0.0024,2.0800736839883029,0.0024,2.1278299260884523
0.0026,2.0916900672018528,0.0026,2.1317020538263023
0.0028,2.0839458117261529,0.0028,2.1304113445803523
0.003,2.0852365209721029,0.003,2.1291206353344023
0.0032,2.0813643932342529,0.0032,2.1278299260884523
0.0034,2.077492265496403,0.0034,2.1252485075965524
0.0036,2.0813643932342529,0.0036,2.1239577983506024
0.0038,2.0800736839883029,0.0038,2.1213763798587024
0.004,2.077492265496403,0.004,2.1239577983506024
0.0042,2.076201556250453,0.0042,2.1200856706127524
0.0044,2.076201556250453,0.0044,2.1200856706127524
0.0046,2.072329428512603,0.0046,2.1213763798587024
0.0048,2.077492265496403,0.0048,2.1200856706127524
0.005,2.076201556250453,0.005,2.1213763798587024
0.0052,2.073620137758553,0.0052,2.1187949613668025
0.0054,2.0671665915288031,0.0054,2.1123414151370525
0.0056,2.0671665915288031,0.0056,2.1123414151370525
0.0058,2.0697480100207031,0.0058,2.1175042521208525
0.006,2.072329428512603,0.006,2.1162135428749025
0.0062,2.0710387192666531,0.0062,2.1175042521208525
0.0064,2.073620137758553,0.0064,2.1149228336289525
0.0066,2.0697480100207031,0.0066,2.1149228336289525
0.0068,2.0671665915288031,0.0068,2.1136321243830025
0.007,2.0684573007747531,0.007,2.1084692873992026
